rowIdZuellig,codeZuellig,rowIdLynXCRM,codeLynXCRM,distance
161,200588,1416,0011i000001xnCi,23
162,200589,930,0011i000001xmqX,0
163,200590,1829,0011i000001xnL5,0
164,200594,1136,0011i000001xnDM,223
165,200598,184,0011i000001xmal,0
166,200601,143,0011i000001xnDg,0
167,200613,246,0011i000001xmye,0
168,200616,23,0011i000001xn1F,0
169,200630,547,0011i000001xmmF,0
170,200631,540,0011i000001xmsr,0
171,200635,505,0011i000001xnbG,244
172,200638,780,0011i000001xnQg,0
173,200642,755,0011i000001xn0g,0
174,200644,165,0011i000001xnTy,0
175,200647,456,0011i000001xnc9,0
176,200650,1478,0011i000001xmfD,14
177,200653,125,0011i000001xmub,0
178,200655,504,0011i000001xn5r,0
179,200656,919,0011i000001xmxF,35
180,200657,148,0011i000001xmwO,172
181,200659,540,0011i000001xmsr,0
182,200660,1382,0011i000001xmpE,0
183,200661,146,0011i000007Ef46,0
184,200668,1156,0011i000001xn6v,0
185,200669,448,0011i000001xmkv,0
186,200670,513,0011i000001xnU2,0
187,200674,1392,0011i000001xnCH,0
188,200689,1996,0011i000001xmbq,0
189,200698,1389,0011i000001xnWs,0
190,200706,260,0011i000001xmdG,147
191,200712,608,0011i000001xmgJ,0
192,200713,1898,0011i000001xnOM,108
193,200715,1161,0011i000001xn2h,8
194,200727,554,0011i00000k1W9i,0
195,200738,781,0011i000001xnWM,0
196,200749,1678,0011i000001xmjW,359
197,200774,1346,0011i000001xncX,0
198,200775,1458,0011i000001xmdl,0
199,200777,2077,0011i000001xnWL,0
200,200778,132,0011i000001xn10,0
201,200784,915,0011i000001xnAs,175
202,200787,1713,0011i000001xmq4,54
203,200793,525,0011i000001xmaj,0
204,200795,704,0011i000001xn9f,0
205,200798,1152,0011i000001xnBI,68
206,200800,253,0011i000001xncq,0
207,200803,770,0011i000001xn9g,0
208,200807,1473,0011i000001xndJ,94
209,200811,1480,0011i000001xn6z,0
210,200829,1598,0011i000001xmtN,0
211,200840,1672,0011i000001xnLT,0
212,200842,1758,0011i000001xmbE,0
213,200843,812,0011i000001xms2,0
214,200844,2096,0011i000001xn2p,188
215,200848,1209,0011i000001xncN,0
216,200853,1454,0011i000001xmuw,0
217,200854,1833,0011i000001xmbA,0
218,200856,1459,0011i000001xmpH,0
219,200863,1841,0011i000001xnWT,0
220,200865,541,0011i000001xnVs,0
221,200874,807,0011i000001xmvK,0
222,200876,1300,0011i000001xmm3,0
223,200877,1300,0011i000001xmm3,0
224,200881,1599,0011i000001xmsy,1
225,200886,1942,0011i000001xnC0,0
226,200887,67,0011i000001xmgy,0
227,200891,1480,0011i000001xn6z,0
228,200892,1784,0011i000001xn3S,0
229,200903,1941,0011i000001xmwY,0
230,200906,540,0011i000001xmsr,0
231,200910,554,0011i00000k1W9i,0
232,200916,1603,0011i000001xnL2,0
233,200920,2096,0011i000001xn2p,0
234,200924,2071,0011i000001xn33,0
235,200926,735,0011i000001xnX2,0
236,200935,44,0011i000001xmjc,0
237,200941,1284,0011i000001xmwZ,0
238,200947,1847,0011i000001xnQX,0
239,200955,1600,0011i000001xnD5,9
240,200961,541,0011i000001xnVs,0
